TEMP [deg C],PSAL [psu],DOXY [ml/l],NTRA [umol/l],PHOS [umol/l],SLCA [umol/l]
2.7916,34.5094,7.2,12.2,0.87,7.7
2.8247,34.5523,7.16,12.4,0.87,7.6
2.92,34.6369,7.13,11.3,0.84,6.7
2.8276,33.7083,7.32,11.9,0.85,9.8
2.8302,33.9476,7.3,11.9,0.86,9
2.7945,34.2813,7.26,12,0.86,8.4
2.8771,34.5604,7.12,11.6,0.88,7.8
2.9327,34.591,7.12,11.9,0.88,7.6
2.8885,34.1826,7.29,11.6,0.85,8.3
2.8598,34.1945,7.28,11.9,0.86,8
2.7425,34.489,7.23,11.9,0.87,7.7
2.8511,34.552,7.18,11.5,0.86,7.4
2.9153,34.6331,7.13,11.8,0.87,7
2.7172,34.3781,7.24,12.2,0.87,8.1
2.7096,34.4736,7.21,12.4,0.87,7.8
2.7046,34.5097,7.21,12,0.87,7.6
2.8014,34.5456,7.06,12.3,0.91,8.3
2.7053,33.706,7.36,12,0.86,10.8
2.705,33.7026,7.35,11.9,0.85,9.6
2.5918,34.4676,7.24,12,0.87,7.8
2.6646,34.499,7.21,12,0.88,7.7
2.6689,34.5075,7.19,12.1,0.88,7.8
